"","Sector","industry","compSize","Breached","VOL -03 Months","VOL -06 Months","VOL -09 Months","VOL -12 Months","DD -03 Months","DD -06 Months","DD -09 Months","DD -12 Months","CP -03 Months","CP -06 Months","CP -09 Months","CP -12 Months"
"1","Finance","Finance/Investors Services","Medium","0",1.37922269493377,1.07556413672904,0.832599638049093,1.45396082394875,-0.01,-0.00999999999999979,0,0,0.0566442000455191,0.0353253194782322,0.0337191617060964,0.047488386685545
"2","Consumer Services","Other Specialty Stores","Medium","0",0.550404447303488,0.490208058775291,0.608878336585688,0.459046005351807,0.0249999999999995,0,-0.0499999999999989,0,0.0605406772312164,0.0763080168647215,0.0436190957968204,0.035582359633901
"3","Finance","Savings Institutions","Small","0",0.830760533122203,1.10816021152282,1.31251283071734,0.929030796844944,0.0999999999999979,0.0500000000000007,0,0,0.0438677054561963,0.0138835873919693,0.0235414245402094,0.0256362346309717
"4","Finance","Major Banks","Medium","1",0.581596932897047,0.578458882055127,0.508642571692966,0.69583076160012,-0.0630000000000024,-0.116,-0.131499999999999,-0.097999999999999,0.0552379004911755,0.0650428861235204,0.0959839316903784,0.0828095142767474
"5","Finance","Major Banks","Medium","1",0.417683608668049,0.610873480835482,0.808099682433658,0.616431372777358,-0.0539999999999994,-0.0399999999999991,0.0509999999999993,-0.0229999999999997,0.0549475262319819,0.0439912765938377,0.082647340172678,0.0439714007170636
"6","Technology","Computer Software: Programming, Data Processing","Medium","0",0.560670894005136,1.13643054911351,1.0394832685562,0.758905266524523,-0.0349999999999997,0.0300000000000002,0.0350000000000001,-0.02,0.087948589405182,0.0797731457003903,0.151388868631327,0.0428919304154294
"7","Technology","Computer Software: Prepackaged Software","Medium","0",0.466343618610127,0.563288125159528,0.964608781795709,0.502820076602542,0.434999999999995,0.209999999999994,0.205000000000002,0.0499999999999972,0.0939609162987428,0.0378326525314959,0.0637556813170068,0.0426717795499883
"8","Technology","Diversified Commercial Services","Large","0",0.700531584162727,1.01315195857664,0.643723748684793,0.614096289281805,0.210000000000001,-0.0399999999999991,0.0625,0.145,0.117081073451855,0.0309271487043377,0.093693088874518,0.0468927940334146
"9","Technology","EDP Services","Medium","0",0.693951885181546,0.620307773900802,0.888920302812176,0.722006406025853,0.0500000000000007,0,0,0,0.0812148234062601,0.0452008386724815,0.0347316477881082,0.0522804155602754
"10","Technology","EDP Services","Medium","0",0.693951885181546,0.620307773900802,0.888920302812176,0.722006406025853,0.0500000000000007,0,0,0,0.0812148234062601,0.0452008386724815,0.0347316477881082,0.0522804155602754
"11","Capital Goods","Industrial Machinery/Components","Medium","0",0.584161579582605,0.552757438861928,0.661500689435002,0.330003390758668,0.0249999999999986,0.0249999999999986,0.0249999999999986,0,0.0458160187772848,0.0329269762959357,0.0548487690302436,0.0247916698262501
"12","Health Care","Major Pharmaceuticals","Small","0",0.572897103877255,0.809661161911803,0.83393244037824,1.25972631895679,-0.0999999999999996,-0.0999999999999996,-0.0750000000000002,0,0.0904632274112479,0.0731806750182456,0.314275862873289,0.127293976587991
"13","Capital Goods","Telecommunications Equipment","Small","0",1.25212726262245,1.72701557140865,2.66012543610531,2.91264309254599,-0.0115,-0.00800000000000001,-0.0191500000000001,-0.02,1.18511796990124,0.208799508368322,0.166435572566337,0.289473009061401
"14","Health Care","Medical/Dental Instruments","Medium","0",0.416908139733729,0.57669701342723,0.413416585677975,0.449546155813093,1.04499999999999,-0.0649999999999977,0.345000000000013,0.210000000000008,0.107101115847409,0.0493889108918868,0.0533865745469707,0.0508528488621797
"15","Energy","Oil & Gas Production","Small","0",0.422883108495682,0.498320343588672,0.462328851200563,0.633580221894061,0,0,0,-0.0099999999999999,0.0706207425942554,0.0827256479733754,0.0637442062268358,0.08404281939631
"16","Health Care","Major Pharmaceuticals","Small","0",0.573118864018325,0.60818760053949,0.595085593736863,0.601154794339757,-0.00999999999999801,0,0,0,0.0496486686468872,0.0455459250469943,0.0461528036184138,0.0438146341289744
"17","Technology","Semiconductors","Small","0",0.925406219727665,0.568434600863878,0.677316874337794,0.693715147483757,0.0700000000000003,0.0499999999999972,-0.0999999999999979,-0.125,0.0651108318416359,0.0804551582218857,0.0531149603858063,0.08320448701681
"18","Miscellaneous","Multi-Sector Companies","Small","0",0.656949958927669,0.551694635396925,1.1416125715251,0.503720625339895,0,0,-0.0125000000000002,-0.0499999999999998,0.0468024100045755,0.0369685162720237,0.152325883292772,0.117965296639699
"19","Health Care","Medical Specialities","Large","0",0.413642958741641,1.39895580934728,0.676237212720261,0.521409012797506,0.00999999999999801,-0.0199999999999996,-0.0400000000000027,0.0449999999999982,0.0820242660918022,0.14726092066951,0.0501811324250219,0.0498905753774059
"20","Health Care","Major Pharmaceuticals","Small","0",1.19007626089928,0.543609649949898,0.705966048575266,0.608749098170971,-0.0799999999999983,-0.16,0.180000000000001,-0.00500000000000078,0.130481266060286,0.106648213717598,0.109414201300996,0.0943656031157888
"21","Health Care","Major Pharmaceuticals","Medium","0",1.50752088297543,4.10989078655292,0.730602867877135,1.55336008912977,-0.01,-0.01,0.00099999999999989,-0.01,0.0659277257744336,0.247565123915065,0.0218950286873934,0.0291354351889702
