"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","ttmDividendRate","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","dividendYield","nextEarningsDate","exDividendDate","peRatio","beta","nextDividendDate"
"1411","BAF",0.067976,14.87,12.44,123710860,NA,13.83,14.3,8434490.948,26183.2,18981.7,0.3802,0.742,"BlackRock Municipal Income Investment Quality Trust",8749000,-0.047358,-0.021846,-0.06532,0.067976,0.069592,0.027616,-0.020687,-0.020776,-0.014634,-0.014023,0.0524752475247525,NA,"2019-10-01",37.19,0.0191918529406981,"2019-10-01"
"1412","BKT",0.04,6.16,5.55,381506060,NA,5.93,6.05,63744303.678,149839.6,177670.7,0.3742,0.3733,"BlackRock Income Trust, Inc.",63797000,-0.253468,-0.10574,-0.048232,0.04,0.056537,0.022222,-0.009934,-0.022876,-0.018062,-0.006645,0.0624247491638796,NA,"2019-09-30",15.98,0.0188143563490859,"2019-09-30"
"1413","BGY",-0.038869,5.75,4.78,584946880,NA,5.43,5.47,107522913.974,237488.4,233596.53,-0.841,0.4434,"BlackRock Enhanced International Dividend Trust",107527000,-0.710309,-0.309582,-0.086179,-0.038869,0.083665,-0.016275,0.005545,0.005545,0.011152,-0.005484,0.0815073529411765,NA,"2018-12-31",-6.47,0.523087607059721,NA
"1414","BKN",0.094752,16,12.72,258133720,NA,14.48,15.54,17182837.776,46042.5,33507.57,1.1825,0.684,"BlackRock Investment Quality Municipal Trust, Inc.",17186000,0.065693,-0.020134,-0.006127,0.094752,0.116729,0.072857,0.014865,-0.046349,-0.037796,-0.055346,0.0455392809587217,NA,"2019-10-01",12.7,-0.0509848952485346,"2019-10-01"
"1415","BTA",0.086614,13.35,10.5,166701240,NA,11.99,12.8,12520108.71,38267.4,36774.23,0.8319,0.634,"BlackRock Long Term Municipal Advantage Trust",13422000,-0.198667,0.052539,0.032646,0.086614,0.142594,0.054329,0.011401,-0.0387,-0.040185,-0.056231,0.0510466988727858,NA,"2019-10-01",14.93,-0.000190145098747096,"2019-10-01"
"1416","BZM",0.039769,15.25,12.44,29939160,NA,14.2,14.53,2081891.736,4098.1,3410.6,0.36,0.5688,"BlackRock Maryland Municipal Bond Trust",2082000,0.006935,0.040115,0.001352,0.039769,0.045818,0.028531,-0.002968,-0.001389,-0.013772,-0.001389,0.0395549374130737,NA,"2019-10-01",39.94,-0.110091053721992,"2019-10-01"
"1417","MHE",0.067906,13.94,11.08,31320910,NA,12.5,13.06,2369897.485,2213.2,3251.33,0.3249,0.528,"BlackRock Massachusetts Tax-Exempt Trust",2371000,-0.079853,-0.055639,-0.102985,0.068391,0.1434,0.079833,0.038311,0.001341,0.026219,0.004384,0.0399697199091597,NA,"2019-10-01",40.66,-0.00867895746069434,"2019-10-01"
"1418","BIT",-0.010983,17.67,14.79,642275180,NA,16.72,17.2,37533457.902,104840.6,109397.9,1.009,1.4004,"BlackRock Multi-Sector Income Trust",37538000,-0.1505,-0.071077,-0.051897,-0.010983,0.096092,0.023938,0.004108,0.013626,-0.005233,-0.010983,0.0818468731735827,NA,"2019-09-30",16.96,0.23289077184336,"2019-09-30"
"1419","MUI",0.083975,14.78,12.3,538824720,NA,13.73,14.38,38293625.648,69190.6,64843.2,1.0411,0.534,"BlackRock Muni Intermediate Duration Fund, Inc.",38296000,-0.071333,-0.050443,-0.001434,0.083975,0.098361,0.036082,0.005,-0.03762,-0.024948,-0.020877,0.037953091684435,NA,"2019-10-01",13.51,0.0232220634126884,"2019-10-01"
"1420","MNE",0.157188,14.9,12.01,NA,NA,13.74,14.62,NA,6117.5,7044.43,NA,NA,"BlackRock Muni New York Intermediate Duration Fund, Inc.",0,-0.073333,-0.008559,0.005789,0.157188,0.172,0.098201,-0.003401,-0.011464,0.008259,-0.003401,NA,NA,"2019-10-01",NA,0.00620691198712893,"2019-10-01"
