"","symbol","week52change","week52high","week52low","day200MovingAvg","day50MovingAvg","avg10Volume","avg30Volume","ttmEPS","companyName","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","peRatio","beta","marketcap","employees","float","ttmDividendRate","sharesOutstanding","nextDividendDate","dividendYield","nextEarningsDate","exDividendDate"
"34","AXDX",-0.015385,24,10.23,18.4,18.8,190201,210872.47,-1.5992,"Accelerate Diagnostics, Inc.",19.27165,0.147399,-0.319039,-0.023077,0.708999,-0.007812,0.021619,0.0966,0.155202,0.066667,-12.81,1.27380045876287,1116487680,287,28024985.604,NA,54516000,NA,NA,"2019-11-07",NA
"35","XLRN",-0.142243,59.59,37.01,43.35,43.66,243736.1,257614.4,-2.464,"Acceleron Pharma, Inc.",1.089545,0.277761,0.512858,-0.097304,0.047857,-0.009222,0.209108,0.004566,0.053111,0.03727,-17.82,1.51113476199001,2319412600,173,44578740.334,NA,52834000,NA,NA,"2019-11-11",NA
"36","ARAY",-0.202632,5.4,2.35,3.99,3.36,565980.1,692716.03,-0.189,"Accuray, Inc.",-0.846505,-0.45375,0.040476,-0.2,-0.131429,-0.336245,-0.182796,-0.123919,-0.243781,0.078014,-16.03,1.07515269780456,268994310,947,85771987.327,NA,88777000,NA,NA,"2019-10-30",NA
"37","ACRX",-0.25,5.05,1.99,2.81,2.46,657156.7,858261.57,-0.7163,"AcelRx Pharmaceuticals, Inc.",-0.204396,-0.649903,0.270175,-0.282353,-0.016129,-0.186667,0.004115,0.07489,-0.043137,0.038298,-3.56,-0.25454530116633,202561800,61,70658719.18,NA,79436000,NA,NA,"2019-11-04",NA
"38","ACER",-0.897008,32.75,1.87,16.23,2.79,140752.6,133474.7,-3.1632,"Acer Therapeutics, Inc.",-0.976329,-0.838973,2.23043,-0.900472,-0.852681,-0.866328,-0.807082,0.289796,0.161765,0.124555,-1.03,1.8385472715709,33010650,23,4851031.11,NA,10095000,NA,NA,"2019-11-11",NA
"39","ACHV",-0.169118,5.25,1.04,2.4,1.93,182628,123020.3,-2.6432,"Achieve Life Sciences, Inc.",-0.999074,-0.989315,-0.894595,-0.198529,0.703125,-0.110204,-0.183521,0.147368,0.197802,-0.051555,-0.86,1.14155561807623,18301480,13,7744465.614,NA,8098000,NA,NA,"2019-11-08",NA
"40","ACHN",0.216718,5.03,1.29,2.98,3.95,801778.7,1145399.87,-0.511,"Achillion Pharmaceuticals, Inc.",-0.889137,0.103704,-0.215789,0.235294,1.360947,0.3125,0.357143,-0.149254,-0.115299,-0.067757,-7.69,2.04274822468467,548993490,56,136017677.17,NA,139693000,NA,NA,"2019-11-06",NA
"41","ACIW",0.153413,35.86,24.02,31.3,31.51,1042421.3,896902.43,0.7124,"ACI Worldwide, Inc.",16.460708,0.975474,0.494728,0.157635,0.212233,-0.007242,0.000913,0.13292,0,0.061633,46.01,1.35274367425917,3825884920,3807,113690873.972,NA,116714000,NA,NA,"2019-10-31",NA
"42","ACRS",-0.931652,16.07,0.74,5.02,1.38,595140.3,1193055.47,-4.1704,"Aclaris Therapeutics, Inc.",-0.402715,-0.402715,-0.73851,-0.928334,-0.859008,-0.817875,-0.778234,0.304821,-0.107438,0.069307,-0.25,1.31474477178032,42609040,169,35299893.552,NA,41368000,NA,NA,"2019-11-04",NA
"43","ACMR",0.211871,21.88,9.02,14.43,15.96,152779,197269.6,0.7686,"ACM Research, Inc.",2.028099,2.028099,2.028099,0.175937,0.312787,0.127172,-0.184105,-0.220644,-0.108125,-0.004881,19.13,1.37036636127994,263550758,273,9714855.1536,NA,16045200,NA,NA,"2019-12-02",NA
"44","ACNB",-0.110834,41.18,32.29,37.11,35.83,7298.7,6610.03,3.3575,"ACNB Corp.",0.854422,0.984938,0.2272,-0.128269,-0.094437,-0.065171,-0.036344,-0.042931,-0.062165,0.048218,10.63,0.681601835671588,252399000,361,6762759.01,0.94,7070000,NA,0.0263305322128852,NA,"2019-08-28"
"45","ACOR",-0.78615,21.63,2.27,11.02,4.62,1905292.3,2217818.13,-1.6745,"Acorda Therapeutics, Inc.",0.800595,-0.606504,-0.234177,-0.786704,-0.762639,-0.733932,-0.493421,0.410256,-0.365733,0.375,-2.31,1.62397037651667,185584940,474,47038666.598,NA,48079000,NA,NA,"2019-10-30",NA
"46","ACTT",0.020619,9.9,9.64,9.78,9.83,106654.2,74195.93,NA,"Act II Global Acquisition Corp.",NA,NA,NA,0.020619,0.020619,0.020619,0.019567,0.007121,0.008147,0.00304,NA,-0.00778756639654321,371250000,NA,NA,NA,37500000,NA,NA,NA,NA
"47","ACTTU",NA,NA,NA,NA,NA,NA,NA,NA,"Act II Global Acquisition Corp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378750000,NA,NA,NA,37500000,NA,NA,NA,NA
