"","symbol","week52change","week52high","week52low","day200MovingAvg","day50MovingAvg","avg10Volume","avg30Volume","ttmEPS","companyName","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","peRatio","beta","marketcap","employees","float","ttmDividendRate","sharesOutstanding","nextDividendDate","dividendYield","nextEarningsDate","exDividendDate"
"80","AEMD",-0.7363,1.74,0.2025,0.7673,0.2855,116116.5,112588.1,-0.3852,"Aethlon Medical, Inc.",-0.970696,-0.922884,-0.646087,-0.749,-0.841139,-0.749,-0.230297,0.08143,0.096549,-0.154882,-0.68,0.329565291043707,5193308,6,18780237.788,NA,19694000,NA,NA,"2019-11-11",NA
"81","GNMX",-0.857674,1.4,0.15,0.2986,0.1823,713151.6,2466285.3,-0.3502,"Aevi Genomic Medicine, Inc.",-0.94447,-0.961927,-0.858235,-0.867442,-0.777922,-0.22973,-0.021739,-0.185714,0.06875,0.06875,-0.52,1.44687974374682,11891221,14,41437214.163,NA,64767000,NA,NA,"2019-11-04",NA
"82","AFMD",-0.303226,5.08,2.52,3.34,2.88,498175.7,469274.03,-0.4012,"Affimed NV",-0.385965,-0.385965,0.686747,-0.326882,-0.02795,-0.2175,-0.057229,0.109929,0.106007,0.102113,-8.08,1.38635927514487,202273200,69,50841930.69,NA,62430000,NA,NA,"2019-11-06",NA
"83","AFYA",-0.003321,32.64,21.81,26.41,26.41,610714.9,347519.57,NA,"Afya Ltd.",NA,NA,NA,-0.017435,-0.017435,-0.017435,-0.017435,-0.055467,-0.121055,-0.036238,NA,-1.28274699437048,2154767486,2952,18715269.195,NA,31815000,NA,NA,"2019-11-27",NA
"84","AGBA",-0.00404,10,9.86,9.95,9.95,2021,686.6,NA,"AGBA Acquisition Ltd.",NA,NA,NA,-0.00404,-0.00404,-0.00404,-0.00404,-0.014,-0.00404,0,NA,-0.097041964098376,NA,NA,NA,NA,0,NA,NA,NA,NA
"85","AGBAR",NA,NA,NA,NA,NA,NA,NA,NA,"AGBA Acquisition Ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"86","AGBAU",NA,NA,NA,NA,NA,NA,NA,NA,"AGBA Acquisition Ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49949700,2,3884665.935,NA,4985000,NA,NA,NA,NA
"87","AGBAW",NA,NA,NA,NA,NA,NA,NA,NA,"AGBA Acquisition Ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"88","AGEN",0.583333,3.88,1.54,2.83,2.69,763875,894881,-0.9228,"Agenus, Inc.",-0.945783,-0.00369,-0.268293,0.598958,0.223108,0.037162,0.124542,0.124542,0.247967,-0.009677,-3.29,1.3412663047886,417431520,294,104895185.769,NA,137313000,NA,NA,"2019-10-21",NA
"89","AGRX",1.969072,1.7,0.323,1.18,1.23,960576.6,707221.2,-0.4259,"Agile Therapeutics, Inc.",-0.732852,-0.732852,-0.56213,2.092784,1.097902,-0.090909,0.145038,0.304348,0.363636,0.094891,-3.38,1.39677895245278,85188960,13,48119220.692,NA,59159000,NA,NA,"2019-11-13",NA
"90","AGYS",0.720178,28.17,13.32,20.6,25.31,210891.5,154985.43,-0.5592,"Agilysys, Inc.",1.304807,0.61944,0.973896,0.675761,0.821379,0.29334,0.179544,-0.045882,0.083709,0.035686,-48.48,0.686782266678758,641829250,936,20373686.975,NA,23675000,NA,NA,"2019-11-06",NA
"91","AGIO",-0.493491,79.17,33.17,51.95,42.29,674924,592401.1,-6.6721,"Agios Pharmaceuticals, Inc.",0.722506,0.321236,0.099143,-0.487988,-0.192593,-0.421268,-0.230381,-0.110308,-0.107394,0.111921,-5.66,1.69203601853459,2217338220,482,58088092.299,NA,58753000,NA,NA,"2019-10-31",NA
"92","AGMH",-0.185096,52,12.46,21.66,16.98,10121.5,10177.67,-0.3482,"AGM Group Holdings, Inc.",1.704762,1.704762,1.704762,-0.163673,-0.434321,-0.143074,0.269974,-0.005966,0.002051,-0.004828,-48.68,0.192294461499609,563180700,26,8416004.436,NA,21316000,NA,NA,NA,NA
"93","AGNC",-0.163588,18.98,14.51,17.33,16.47,7655405,6474460.37,-1.5393,"AGNC Investment Corp.",-0.096124,-0.242857,-0.127681,-0.17467,-0.112876,-0.132557,-0.07346,-0.067382,-0.084845,0.038513,-10.3,0.287435150745582,8682915300,56,545064118.914,2.12,547818000,"2019-09-27",0.133753943217666,"2019-10-24","2019-09-27"
"94","AGNCB",-0.009638,26.02,24.99,25.53,25.65,21369,19645.47,NA,"AGNC Investment Corp.",0.027748,0.027748,-0.03763,-0.010409,0.011028,0.006667,-0.009645,-0.001167,0.003126,0.002343,NA,0.0436417662463563,14073444420,NA,NA,NA,0,NA,NA,NA,NA
"95","AGNCM",0.032609,26.27,24.57,25.33,25.7,67024.8,54075.53,NA,"AGNC Investment Corp.",0.011272,0.011272,0.011272,0.041063,0.041063,0.037721,0.016509,0.004272,0.010946,-0.006531,NA,-0.0375966300378014,14051531700,NA,NA,NA,0,NA,NA,NA,NA
"96","AGNCN",0.00038,26.67,25.02,25.85,26.13,26320.4,48980.1,NA,"AGNC Investment Corp.",0.037827,0.037827,0.037827,0.003226,0.034233,0.02184,0.011672,0.01206,0.021445,-0.001699,NA,0.0697996850593345,14440482480,NA,NA,NA,0,NA,NA,NA,NA
