"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Ex","Company","City","State","BreachType","TotalRecords","BreachYear","Latitude","Longitude","CompanyName"
"3514","AP","Ampco-Pittsburgh Corporation",3564,"$45.38M","n/a","Capital Goods","Fluid Controls","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3515","APH","Amphenol Corporation",4234,"$26.04B","n/a","Capital Goods","Electrical Products","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3516","AXR","AMREP Corporation",2097,"$43.61M","n/a","Consumer Services","Newspapers/Magazines","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3517","HKIB","AMTD International Inc.",2605,"$2.08B","2019","Finance","Finance: Consumer Services","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3518","AME","AMTEK, Inc.",4227,"$19.62B","n/a","Consumer Durables","Metal Fabrications","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3519","PLAN","Anaplan, Inc.",3938,"$7.02B","2018","Technology","Computer Software: Prepackaged Software","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3520","FINS","Angel Oak Financial Strategies Income Term Trust",1100,"$219.09M","2019","n/a","n/a","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521","AU","AngloGold Ashanti Limited",3257,"$9.43B","n/a","Basic Industries","Precious Metals","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3522","BUD","Anheuser-Busch Inbev SA",4309,"$185.16B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","NYSE","Anheuser-Busch","St. Louis","Missouri","Portable Device",0,2008,38.646991,-90.224967,"Anheuser-Busch Inbev SA"
"3523","AXE","Anixter International Inc.",2258,"$2.02B","n/a","Consumer Non-Durables","Telecommunications Equipment","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3524","NLY","Annaly Capital Management Inc",4170,"$12.09B","n/a","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3525","AM","Antero Midstream Corporation",2397,"$3.6B","2017","Public Utilities","Natural Gas Distribution","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3526","AR","Antero Resources Corporation",1554,"$980.23M","2013","Energy","Oil & Gas Production","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
