"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Ex","Company","City","State","BreachType","TotalRecords","BreachYear","Latitude","Longitude","CompanyName"
"1","YI","111, Inc.",1057,"$216.4M","2018","Health Care","Medical/Nursing Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PIH","1347 Property Insurance Holdings, Inc.",1916,"$29.22M","2014","Finance","Property-Casualty Insurers","NASDAQ","PHH Corporation","Suwanee","Georgia","Insider",6700,2013,34.05149,-84.0713,"1347 Property Insurance Holdings, Inc."
"3","PIHPP","1347 Property Insurance Holdings, Inc.",1318,"$17.68M","n/a","Finance","Property-Casualty Insurers","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","TURN","180 Degree Capital Corp.",1006,"$66.29M","n/a","Finance","Finance/Investors Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","FLWS","1-800 FLOWERS.COM, Inc.",714,"$946.76M","1999","Consumer Services","Other Specialty Stores","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BCOW","1895 Bancorp of Wisconsin, Inc.",2630,"$45.96M","2019","Finance","Banks","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","FCCY","1st Constitution Bancorp (NJ)",861,"$150.67M","n/a","Finance","Savings Institutions","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","SRCE","1st Source Corporation",1994,"$1.13B","n/a","Finance","Major Banks","NASDAQ","1st Source Bank","South Bend","Indiana","Hacking",0,2008,41.683381,-86.250007,"1st Source Corporation"
"9","SRCE","1st Source Corporation",1994,"$1.13B","n/a","Finance","Major Banks","NASDAQ","1st Source Bank","South Bend","Indiana","Unknown",0,2010,41.683381,-86.250007,"1st Source Corporation"
"10","VNET","21Vianet Group, Inc.",2440,"$882.28M","2011","Technology","Computer Software: Programming, Data Processing","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","TWOU","2U, Inc.",879,"$1.13B","2014","Technology","Computer Software: Prepackaged Software","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","QFIN","360 Finance, Inc.",2658,"$1.43B","2018","Finance","Finance: Consumer Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","JOBS","51job, Inc.",2464,"$4.77B","2004","Technology","Diversified Commercial Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","JFK","8i Enterprises Acquisition Corp",2658,"$73.98M","2019","Finance","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","JFKKU","8i Enterprises Acquisition Corp",427,"$53.15M","2019","Finance","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","JFKKW","8i Enterprises Acquisition Corp",71,"$1.62M","2019","Finance","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","EGHT","8x8 Inc",1282,"$2.41B","n/a","Technology","EDP Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","JFU","9F Inc.",445,"$2.11B","2019","Finance","Finance: Consumer Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","AAON","AAON, Inc.",2046,"$2.5B","n/a","Capital Goods","Industrial Machinery/Components","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ABEO","Abeona Therapeutics Inc.",315,"$75.95M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ABIL","Ability Inc.",165,"$5.31M","2014","Capital Goods","Telecommunications Equipment","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ABMD","ABIOMED, Inc.",988,"$8.76B","n/a","Health Care","Medical/Dental Instruments","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","AXAS","Abraxas Petroleum Corporation",131,"$87.92M","n/a","Energy","Oil & Gas Production","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ACIU","AC Immune SA",2089,"$352.68M","2016","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ACIA","Acacia Communications, Inc.",2346,"$2.59B","2016","Technology","Semiconductors","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ACTG","Acacia Research Corporation",1055,"$130.85M","n/a","Miscellaneous","Multi-Sector Companies","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ACHC","Acadia Healthcare Company, Inc.",1409,"$2.34B","n/a","Health Care","Medical Specialities","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ACAD","ACADIA Pharmaceuticals Inc.",1466,"$4B","1985","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ACAM","Acamar Partners Acquisition Corp.",2649,"$375.86M","2019","Finance","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ACST","Acasti Pharma, Inc.",350,"$154.62M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","AXDX","Accelerate Diagnostics, Inc.",922,"$1.03B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","XLRN","Acceleron Pharma Inc.",2004,"$2.37B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ARAY","Accuray Incorporated",1061,"$235.9M","2007","Health Care","Medical/Dental Instruments","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ACRX","AcelRx Pharmaceuticals, Inc.",1029,"$185.08M","2011","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ACER","Acer Therapeutics Inc.",1064,"$27.26M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","ACHV","Achieve Life Sciences, Inc. ",361,"$16.11M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ACHN","Achillion Pharmaceuticals, Inc.",1884,"$607.66M","2006","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ACIW","ACI Worldwide, Inc.",1534,"$3.48B","n/a","Technology","Computer Software: Prepackaged Software","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ACRS","Aclaris Therapeutics, Inc.",248,"$41.78M","2015","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ACMR","ACM Research, Inc.",693,"$230.84M","2017","Technology","Industrial Machinery/Components","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ACNB","ACNB Corporation",1719,"$238.11M","n/a","Finance","Major Banks","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ACOR","Acorda Therapeutics, Inc.",1560,"$155.39M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ","ACORN","San Diego","California","Unintended Disclosure",0,2009,32.715329,-117.157255,"Acorda Therapeutics, Inc."
"43","ACTT","Act II Global Acquisition Corp.",2651,"$370.5M","2019","Finance","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","ACTTW","Act II Global Acquisition Corp.",238,"$20.66M","2019","Finance","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","ATVI","Activision Blizzard, Inc",2144,"$38.81B","n/a","Technology","Computer Software: Prepackaged Software","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","ADMS","Adamas Pharmaceuticals, Inc.",2281,"$175.24M","2014","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","ADMP","Adamis Pharmaceuticals Corporation",236,"$57.69M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","ADAP","Adaptimmune Therapeutics plc",321,"$169.25M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ADPT","Adaptive Biotechnologies Corporation",2150,"$7.1B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ADUS","Addus HomeCare Corporation",2596,"$1.16B","2009","Health Care","Medical/Nursing Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","AEY","ADDvantage Technologies Group, Inc.",340,"$18.65M","n/a","Consumer Services","Office Equipment/Supplies/Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","IOTS","Adesto Technologies Corporation",383,"$306.72M","2015","Technology","Semiconductors","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ADIL","Adial Pharmaceuticals, Inc",326,"$16.9M","2018","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","ADMA","ADMA Biologics Inc",1892,"$265.74M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","ADBE","Adobe Inc.",1506,"$138.11B","1986","Technology","Computer Software: Prepackaged Software","NASDAQ","Adobe","San Jose","California","Hacking",230,2012,37.339386,-121.894956,"Adobe Inc."
"56","ADBE","Adobe Inc.",1506,"$138.11B","1986","Technology","Computer Software: Prepackaged Software","NASDAQ","Adobe","San Jose","California","Unintended Disclosure",0,2017,37.338208,-121.886329,"Adobe Inc."
"57","ADTN","ADTRAN, Inc.",390,"$491M","1994","Public Utilities","Telecommunications Equipment","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ADRO","Aduro Biotech, Inc.",274,"$98.57M","2015","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","ADES","Advanced Emissions Solutions, Inc.",593,"$234.45M","n/a","Basic Industries","Major Chemicals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","AEIS","Advanced Energy Industries, Inc.",2164,"$1.98B","1995","Capital Goods","Industrial Machinery/Components","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","AMD","Advanced Micro Devices, Inc.",1653,"$34.14B","n/a","Technology","Semiconductors","NASDAQ","Advanced Micro Devices (AMD), Nvidia","Sunnyvale","California","Insider",0,2013,37.36883,-122.03635,"Advanced Micro Devices, Inc."
"62","AMD","Advanced Micro Devices, Inc.",1653,"$34.14B","n/a","Technology","Semiconductors","NASDAQ","Intel, Advanced Micro Devices (AMD)","Hudson","Massachusetts","Insider",0,2013,42.391736,-71.566139,"Advanced Micro Devices, Inc."
"63","ADXS","Advaxis, Inc.",90,"$6.35M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ADVM","Adverum Biotechnologies, Inc.",397,"$665.86M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF",1177,"$2.21M","n/a","n/a","n/a","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","DWSH","AdvisorShares Dorsey Wright Short ETF",1491,"$30.55M","n/a","n/a","n/a","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","BKCH","AdvisorShares Sabretooth ETF",1425,"$2.68M","n/a","n/a","n/a","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ACT","AdvisorShares Vice ETF",1265,"$13.21M","n/a","n/a","n/a","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","AEGN","Aegion Corp",971,"$609.86M","n/a","Basic Industries","Water Supply","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","AGLE","Aeglea BioTherapeutics, Inc.",2438,"$225.45M","2016","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","AEHR","Aehr Test Systems",291,"$30.23M","1997","Capital Goods","Electrical Products","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","AMTX","Aemetis, Inc",205,"$16.25M","n/a","Basic Industries","Major Chemicals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","AERI","Aerie Pharmaceuticals, Inc.",1157,"$995.04M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","AVAV","AeroVironment, Inc.",2162,"$1.23B","2007","Capital Goods","Aerospace","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","ARPO","Aerpio Pharmaceuticals, Inc.",191,"$29.63M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","AEZS","AEterna Zentaris Inc.",1020,"$36.83M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","AEMD","Aethlon Medical, Inc.",74,"$5.78M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","GNMX","Aevi Genomic Medicine, Inc.",45,"$11.81M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","AFMD","Affimed N.V.",1069,"$173.58M","2014","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","AFYA","Afya Limited",1165,"$1.92B","2019","Consumer Services","Other Consumer Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","AGBA","AGBA Acquisition Limited",363,"$59.75M","2019","Finance","Business Services","NASDAQ","AB Acquisition LLC","Boise","Idaho","Hacking",0,2014,39.185008,-77.310596,"AGBA Acquisition Limited"
"82","AGBAU","AGBA Acquisition Limited",375,"$60.41M","2019","Finance","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","AGEN","Agenus Inc.",1075,"$395.46M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","AGRX","Agile Therapeutics, Inc.",261,"$65.23M","2014","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","AGYS","Agilysys, Inc.",1449,"$645.15M","n/a","Technology","EDP Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","AGIO","Agios Pharmaceuticals, Inc.",1821,"$2.23B","2013","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","AGMH","AGM Group Holdings Inc.",864,"$372.6M","2018","Technology","EDP Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","AGNC","AGNC Investment Corp.",721,"$8.15B","2008","Consumer Services","Real Estate Investment Trusts","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","AGNCB","AGNC Investment Corp.",1343,"$8.84B","n/a","Consumer Services","Real Estate Investment Trusts","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","AGNCN","AGNC Investment Corp.",1403,"$342680","n/a","Consumer Services","Real Estate Investment Trusts","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","AGFS","AgroFresh Solutions, Inc.",322,"$83.34M","2014","Finance","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","ALRN","Aileron Therapeutics, Inc.",190,"$20.3M","2017","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","AIMT","Aimmune Therapeutics, Inc.",1101,"$1.28B","2015","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","AIRT","Air T, Inc.",875,"$53.79M","n/a","Transportation","Air Freight/Delivery Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","ATSG","Air Transport Services Group, Inc",1096,"$1.2B","n/a","Transportation","Air Freight/Delivery Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","AIRG","Airgain, Inc.",503,"$109.1M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","ANTE","AirNet Technology Inc.",234,"$11.7M","n/a","Technology","Advertising","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","AKAM","Akamai Technologies, Inc.",2603,"$14.61B","1999","Miscellaneous","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","AKTX","Akari Therapeutics Plc",1003,"$39.26M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","AKCA","Akcea Therapeutics, Inc.",1136,"$1.96B","2017","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","AKBA","Akebia Therapeutics, Inc.",1868,"$490.91M","2014","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","KERN","Akerna Corp.",2523,"$62.65M","2018","Technology","EDP Services","NASDAQ","Aetna, Inc.",NA,"Connecticut","Unintended Disclosure",2345,2010,40.760537,-73.97889,"Akerna Corp."
"103","KERN","Akerna Corp.",2523,"$62.65M","2018","Technology","EDP Services","NASDAQ","Aetna, Inc.",NA,"Connecticut","Unintended Disclosure",1506,2017,40.760537,-73.97889,"Akerna Corp."
"104","AKRO","Akero Therapeutics, Inc.",1471,"$791.27M","2019","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","AKER","Akers Biosciences Inc.",110,"$5.38M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","AKRX","Akorn, Inc.",1076,"$364.55M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","AKTS","Akoustis Technologies, Inc.",2408,"$220.01M","n/a","Public Utilities","Telecommunications Equipment","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","ALRM","Alarm.com Holdings, Inc.",2040,"$2.31B","2015","Technology","Computer Software: Prepackaged Software","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","ALSK","Alaska Communications Systems Group, Inc.",333,"$91.54M","1999","Public Utilities","Telecommunications Equipment","NASDAQ","Alaska Communications","Anchorage","Alaska","Hacking",0,2014,61.186219,-149.872264,"Alaska Communications Systems Group, Inc."
"110","ALSK","Alaska Communications Systems Group, Inc.",333,"$91.54M","1999","Public Utilities","Telecommunications Equipment","NASDAQ","Alaska Communications Systems Holdings, Inc.","Anchorage","Alaska","Hacking",4,2014,38.795672,-76.138278,"Alaska Communications Systems Group, Inc."
"111","ALAC","Alberton Acquisition Corporation",382,"$149.69M","2018","Finance","Business Services","NASDAQ","Albertsons/AB Acquisitions LLC","Boise","Idaho","Hacking",0,2014,43.61871,-116.214607,"Alberton Acquisition Corporation"
"112","ALBO","Albireo Pharma, Inc.",1286,"$310.16M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","ABDC","Alcentra Capital Corp.",2551,"$115.49M","n/a","n/a","n/a","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","ALDR","Alder BioPharmaceuticals, Inc.",2549,"$748.55M","2014","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","ALDX","Aldeyra Therapeutics, Inc.",1887,"$121.62M","2014","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","ALEC","Alector, Inc.",817,"$1.13B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","ALXN","Alexion Pharmaceuticals, Inc.",460,"$22.59B","1996","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","ALCO","Alico, Inc.",1535,"$223.17M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","ALGN","Align Technology, Inc.",937,"$14.63B","2001","Health Care","Industrial Specialties","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","ALIM","Alimera Sciences, Inc.",107,"$29.54M","2010","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","ALYA","Alithya Group inc.",1069,"$134.83M","n/a","Technology","Computer Software: Programming, Data Processing","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","ALJJ","ALJ Regional Holdings, Inc.",320,"$67.07M","n/a","Miscellaneous","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","ALKS","Alkermes plc",1123,"$3.3B","1991","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","ALLK","Allakos Inc.",2598,"$4.28B","2018","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","ABTX","Allegiance Bancshares, Inc.",1685,"$685.74M","2015","Finance","Major Banks","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","ALGT","Allegiant Travel Company",729,"$2.32B","2006","Transportation","Air Freight/Delivery Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","ALGR","Allegro Merger Corp.",377,"$193.08M","2018","Finance","Business Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","ALNA","Allena Pharmaceuticals, Inc.",1872,"$97.85M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","ARLP","Alliance Resource Partners, L.P.",758,"$1.99B","1999","Energy","Coal Mining","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","LNT","Alliant Energy Corporation",2171,"$12.46B","n/a","Public Utilities","Power Generation","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","AESE","Allied Esports Entertainment, Inc.",1573,"$78.5M","2017","Consumer Services","Services-Misc. Amusement & Recreation","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","AHPI","Allied Healthcare Products, Inc.",298,"$5.62M","1992","Health Care","Industrial Specialties","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","AMOT","Allied Motion Technologies, Inc.",1677,"$309.21M","n/a","Capital Goods","Electrical Products","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","ALLO","Allogene Therapeutics, Inc.",1447,"$3.32B","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","ALLT","Allot Ltd.",2428,"$263.82M","2006","Technology","Computer Communications Equipment","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","MDRX","Allscripts Healthcare Solutions, Inc.",2609,"$1.51B","n/a","Technology","EDP Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","ALNY","Alnylam Pharmaceuticals, Inc.",2553,"$8.97B","2004","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","AOSL","Alpha and Omega Semiconductor Limited",526,"$288.84M","2010","Technology","Semiconductors","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","GOOG","Alphabet Inc.",561,"$823.83B","2004","Technology","Computer Software: Programming, Data Processing","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","GOOGL","Alphabet Inc.",565,"$825.51B","n/a","Technology","Computer Software: Programming, Data Processing","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","SMCP","AlphaMark Actively Managed Small Cap ETF",1188,"$21.29M","n/a","n/a","n/a","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","ATEC","Alphatec Holdings, Inc.",2090,"$313.44M","2006","Health Care","Medical/Dental Instruments","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","ALPN","Alpine Immune Sciences, Inc.",1873,"$77.6M","2015","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","AMR","Alta Mesa Resources, Inc.",25,"$36.75M","2017","Energy","Oil & Gas Production","NASDAQ","AMR Corporation","Fort Worth","Texas","Stationary Device",79000,2010,32.725409,-97.32085,"Alta Mesa Resources, Inc."
"145","AMR","Alta Mesa Resources, Inc.",25,"$36.75M","2017","Energy","Oil & Gas Production","NASDAQ","AMR Corporation","Fort Worth","Texas","Portable Device",79000,2010,32.725409,-97.32085,"Alta Mesa Resources, Inc."
"146","AABA","Altaba Inc.",2390,"$36.1B","n/a","Technology","EDP Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","ALTR","Altair Engineering Inc.",1737,"$2.46B","2017","Technology","Computer Software: Prepackaged Software","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","ATHE","Alterity Therapeutics Limited",262,"$16.07M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","ALT","Altimmune, Inc.",1004,"$32.36M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","ASPS","Altisource Portfolio Solutions S.A.",976,"$316.78M","n/a","Consumer Services","Other Consumer Services","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","AIMC","Altra Industrial Motion Corp.",1376,"$1.68B","2006","Capital Goods","Industrial Machinery/Components","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","ALTM","Altus Midstream Company",1027,"$750.59M","2017","Public Utilities","Natural Gas Distribution","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","AMAG","AMAG Pharmaceuticals, Inc.",449,"$370.2M","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","AMAL","Amalgamated Bank",797,"$511.59M","2018","Consumer Non-Durables","Textiles","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","AMRN","Amarin Corporation plc",725,"$5.35B","n/a","Health Care","Major Pharmaceuticals","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","AMRK","A-Mark Precious Metals, Inc.",689,"$99.71M","n/a","Basic Industries","Other Specialty Stores","NASDAQ",NA,NA,NA,NA,NA,NA,NA,NA,NA
